Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,21.610001,22.049999,21.100000,21.170000,21.170000,4980100
2020-02-07,20.139999,20.610001,19.330000,19.629999,19.629999,11545800
2020-02-10,19.600000,19.740000,18.850000,19.049999,19.049999,5779200
2020-02-11,18.900000,20.511000,18.650000,19.910000,19.910000,8863600
2020-02-12,20.120001,20.299999,19.340000,19.650000,19.650000,5147900
2020-02-13,19.360001,20.440001,19.260000,19.520000,19.520000,6266100
2020-02-14,23.170000,23.900000,21.719999,22.129999,22.129999,26485500
2020-02-18,22.360001,22.879999,21.885000,21.940001,21.940001,7714400
2020-02-19,22.010000,22.299999,21.580000,21.770000,21.770000,5600600
2020-02-20,21.700001,23.230000,21.650000,22.309999,22.309999,8842200
2020-02-21,22.340000,22.410000,21.780001,21.879999,21.879999,4841600
